claim_id,claimant_name,claim_amount,claim_date,claim_status,policy_number,incident_date,claim_description,claim_type,adjuster_name,settlement_amount,settlement_date,coverage_type,deductible_amount,payment_method,Vehicle_ID,customer_id,LocationID
 CLM-5611  ,Zena Hurdman,Real,5/17/2020,approved,51566,9/6/2020,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",auto,Bridie Boutton,Cordoba,4/26/2020,liability,Euro,direct deposit, VEH-4749  , CUS-4035  , LOC-1568  
 CLM-2135  ,Mehetabel Heild,Yuan Renminbi,5/17/2021,approved,94028,12/18/2021,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",home,Matteo Verni,Dollar,3/12/2020,collision,Peso,credit card, VEH-7033  , CUS-8842  , LOC-1758  
 CLM-8250  ,Mirella Bone,Yuan Renminbi,6/2/2020,approved,36051,9/4/2019,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",health,Winny Blondin,Rupiah,7/14/2020,comprehensive,Peso,check, VEH-5515  , CUS-8161  , LOC-6064  
 CLM-8862  ,Alexa Hundley,Ruble,11/12/2021,denied,35278,2/5/2020,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",home,Carree Le Cornu,Real,9/17/2020,comprehensive,Ruble,direct deposit, VEH-8497  , CUS-9889  , LOC-0155  
 CLM-3119  ,Tomas Muino,Franc,12/15/2020,approved,62501,2/16/2021,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",auto,Merlina Laws,Rupiah,7/5/2021,liability,Real,check, VEH-7906  , CUS-4473  , LOC-8224  
 CLM-4931  ,Stefania Shearwood,Yen,10/30/2020,denied,18334,4/29/2021,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,health,Aretha Cloute,Krona,6/19/2020,comprehensive,Peso,direct deposit, VEH-2844  , CUS-8036  , LOC-1360  
 CLM-1054  ,Barron Meanwell,Euro,11/8/2021,approved,48056,2/10/2020,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,health,Mozelle Stutard,Zloty,8/31/2020,comprehensive,Dollar,direct deposit, VEH-6324  , CUS-3923  , LOC-8954  
 CLM-2541  ,Zebulen Lassen,Yen,11/8/2020,pending,44623,4/11/2021,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",home,Leila Reville,Lek,11/29/2020,collision,Zloty,credit card, VEH-6991  , CUS-8306  , LOC-3353  
 CLM-6769  ,Ambrosi Aughton,Yuan Renminbi,3/14/2020,pending,56912,2/22/2019,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",auto,Esmaria Feige,Denar,3/6/2021,collision,Yuan Renminbi,direct deposit, VEH-6253  , CUS-3108  , LOC-4515  
 CLM-2200  ,Rebeka Sheppard,Rupiah,9/16/2021,approved,65823,11/2/2020,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",home,Gordy Van Merwe,Krona,11/21/2020,collision,Baht,check, VEH-5054  , CUS-7543  , LOC-5259  
 CLM-0331  ,Averyl Orrett,Euro,10/17/2020,pending,56973,1/9/2020,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",health,Roger Stove,Metical,3/25/2020,comprehensive,Ruble,credit card, VEH-9500  , CUS-1165  , LOC-3847  
 CLM-2439  ,Matthus Killner,Dollar,10/13/2020,denied,11813,7/15/2020,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",home,May Geane,Real,4/5/2021,comprehensive,Euro,check, VEH-3550  , CUS-3551  , LOC-1198  
 CLM-3468  ,Jasmin Cox,Dollar,12/18/2021,denied,36432,8/16/2019,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",home,Elisa Knight,Koruna,10/5/2021,collision,Yuan Renminbi,credit card, VEH-1170  , CUS-2631  , LOC-4496  
 CLM-1158  ,Kylie Downing,Ruble,4/10/2021,pending,53694,5/19/2021,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",health,Gwenette Madden,Euro,10/15/2020,liability,Euro,credit card, VEH-5121  , CUS-5806  , LOC-3696  
 CLM-2146  ,Ruddy Yuryev,Peso,8/25/2020,denied,62163,8/23/2019,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",auto,Kenna Jantet,Peso,10/10/2021,comprehensive,Lek,credit card, VEH-9536  , CUS-6369  , LOC-5916  
 CLM-7744  ,Daveta Yuryatin,Yuan Renminbi,11/5/2021,pending,23248,3/14/2020,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",home,Kerk Sidery,Ruble,4/8/2021,liability,Litas,direct deposit, VEH-3376  , CUS-2524  , LOC-3787  
 CLM-1437  ,Ami Coghill,Krona,6/21/2021,pending,93535,3/26/2020,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",home,Emelita Onions,Kuna,3/7/2021,comprehensive,Yuan Renminbi,credit card, VEH-3900  , CUS-4021  , LOC-0472  
 CLM-4763  ,Nathaniel Penhaleurack,Shilling,3/27/2021,denied,28811,7/11/2019,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",auto,Cathe Bellows,Peso,1/6/2021,collision,Real,check, VEH-2877  , CUS-3509  , LOC-5638  
 CLM-9024  ,Leonerd Duke,Zloty,7/1/2021,approved,13468,10/16/2019,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,auto,Miquela Stainburn,Peso,8/12/2020,liability,Yuan Renminbi,credit card, VEH-7442  , CUS-9045  , LOC-0269  
 CLM-0171  ,Gerik Riddiford,Yuan Renminbi,12/6/2020,pending,19698,5/29/2019,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",home,Danila Eady,Yuan Renminbi,5/24/2021,collision,Yuan Renminbi,credit card, VEH-7180  , CUS-7691  , LOC-1385  
 CLM-2719  ,Almeria Burdis,Rupiah,2/18/2020,pending,35969,9/23/2020,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",home,Olenka Rosencwaig,Ruble,10/26/2020,liability,Euro,check, VEH-9254  , CUS-1932  , LOC-4496  
 CLM-6659  ,Neddy Easlea,Koruna,6/30/2020,denied,16924,8/9/2021,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",auto,Berta Devlin,Peso,11/22/2021,collision,Krona,direct deposit, VEH-7253  , CUS-7347  , LOC-9410  
 CLM-6596  ,Antonino Worthy,Real,10/25/2020,approved,22749,10/28/2021,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,health,Shayne Kroger,Yuan Renminbi,5/16/2021,collision,Yuan Renminbi,credit card, VEH-1893  , CUS-4625  , LOC-9241  
 CLM-8936  ,Samaria Bielfeld,Yuan Renminbi,6/9/2021,denied,44386,4/14/2020,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",health,Nollie MacWhirter,Euro,6/24/2020,liability,Cedi,direct deposit, VEH-3576  , CUS-2421  , LOC-4721  
 CLM-9913  ,Bethany Greenwood,Hryvnia,8/24/2021,pending,51217,4/2/2021,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",auto,Jillana Crome,Dollar,4/18/2021,comprehensive,Yuan Renminbi,credit card, VEH-7560  , CUS-6062  , LOC-9768  
 CLM-3485  ,Carmel Farndon,Peso,7/6/2020,denied,42498,10/5/2020,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",home,Heath Illem,Euro,10/14/2020,liability,Sol,check, VEH-5042  , CUS-1753  , LOC-2326  
 CLM-9757  ,Helena Venart,Shilling,3/19/2021,pending,88588,4/17/2021,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",health,Adrienne Finnie,Krone,1/29/2020,comprehensive,Zloty,credit card, VEH-5952  , CUS-9645  , LOC-7163  
 CLM-8345  ,Birgit Siddons,Zloty,9/21/2020,denied,30783,10/16/2021,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",health,Aaren Peirce,Rand,10/10/2020,liability,Rupiah,credit card, VEH-6186  , CUS-6994  , LOC-6415  
